pro_code,Provinces_kh,Provinces ,Households ,Males ,Females, Total ,Household size,area_km2,pop_km2,reference
1,បន្ទាយមានជ័យ,Banteay Meanchey,177526,426104,433441,859545,4.8,6679,129,Provisional_Population_Census__00.06.2019.pdf
2,បាត់ដំបង,Battambang,218584,458902,528498,987400,4.5,11702,84,Provisional_Population_Census__00.06.2019.pdf
3,កំពង់ចាម,Kampong Cham,215923,428481,467282,895763,4.1,4549,197,Provisional_Population_Census__00.06.2019.pdf
4,កំពង់ឆ្នាំង,Kampong Chhnang ,122925,251895,274037,525932,4.3,5521,95,Provisional_Population_Census__00.06.2019.pdf
5,កំពង់ស្ពឺ,Kampong Speu,187835,424039,448180,872219,4.6,7017,124,Provisional_Population_Census__00.06.2019.pdf
6,កំពង់ធំ,Kampong Thom ,154458,327013,350247,677260,4.4,13814,49,Provisional_Population_Census__00.06.2019.pdf
7,កំពត,Kampot,138374,280537,312308,592845,4.3,4873,122,Provisional_Population_Census__00.06.2019.pdf
8,កណ្តាល,Kandal,273111,580129,615418,1195547,4.4,3179,376,Provisional_Population_Census__00.06.2019.pdf
9,កោះកុង,Koh Kong,26716,62304,61314,123618,4.6,10090,12,Provisional_Population_Census__00.06.2019.pdf
10,ក្រចេះ,Kratie,86137,185429,187396,372825,4.3,11094,34,Provisional_Population_Census__00.06.2019.pdf
11,មណ្ឌលគីរី,Mondul Kiri,19609,45533,43116,88649,4.5,14288,6,Provisional_Population_Census__00.06.2019.pdf
12,ភ្នំពេញ,Phnom Penh,399203,1039192,1090179,2129371,5.3,679,3136,Provisional_Population_Census__00.06.2019.pdf
13,ព្រះវិហារ,Preah Vihear,56331,126624,124728,251352,4.5,13788,18,Provisional_Population_Census__00.06.2019.pdf
14,ព្រៃវែង,Prey Veng,227008,501346,556082,1057428,4.7,4883,217,Provisional_Population_Census__00.06.2019.pdf
15,ពោធិ៍សាត់,Pursat,102253,200392,211367,411759,4,12692,32,Provisional_Population_Census__00.06.2019.pdf
16,រតនគីរី,Ratanak Kiri,47417,102325,101702,204027,4.3,10782,19,Provisional_Population_Census__00.06.2019.pdf
17,សៀមរាប,Siem Reap,218659,491568,514944,1006512,4.6,10299,98,Provisional_Population_Census__00.06.2019.pdf
18,ព្រះសីហនុ,Preah Sihanouk,51983,153255,149632,302887,5.8,1938,156,Provisional_Population_Census__00.06.2019.pdf
19,ស្ទឹងត្រែង,Stung Treng,34627,83093,76472,159565,4.6,11092,14,Provisional_Population_Census__00.06.2019.pdf
20,ស្វាយរៀង,Svay Rieng,131937,249446,275108,524554,4,2966,177,Provisional_Population_Census__00.06.2019.pdf
21,តាកែវ,Takeo,199362,432649,466836,899485,4.5,3563,252,Provisional_Population_Census__00.06.2019.pdf
22,ឧត្តរមានជ័យ,Otdar Meanchey,56331,134350,126902,261252,4.6,6158,42,Provisional_Population_Census__00.06.2019.pdf
23,កែប,Kep,9347,20615,21183,41798,4.5,336,124,Provisional_Population_Census__00.06.2019.pdf
24,ប៉ៃលិន,Pailin,16833,36151,35449,71600,4.3,803,89,Provisional_Population_Census__00.06.2019.pdf
25,ត្បូងឃ្មុំ,Tbong Khmum,169281,377205,398091,775296,4.6,5250,148,Provisional_Population_Census__00.06.2019.pdf
,,Total,3341770,7418577,7869912,15288489,4.6,178035,86,Provisional_Population_Census__00.06.2019.pdf
